State;Profession;Profesion Key;Agree terms conditions;Card Mastercard;Source;Edad;Region Pais
4;Horticultor;1;VERDADERO;FALSO;;26;Libertador General Bernardo OHiggins
4;estudiante;2;VERDADERO;VERDADERO;;18;Región Metropolitana de Santiago
4;SIN ACTIVIDAD;3;VERDADERO;FALSO;;30;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;25;Atacama
4;empleado;4;VERDADERO;FALSO;;57;La Araucanía
4;soldador;5;VERDADERO;FALSO;;29;Región Metropolitana de Santiago
4;empleado publico;6;VERDADERO;FALSO;;34;Valparaíso
4;almacenera;7;VERDADERO;FALSO;;60;Región Metropolitana de Santiago
4;empleado;4;VERDADERO;FALSO;;30;Tarapacá
4;due?±a de casa;8;VERDADERO;FALSO;;32;Atacama
4;cocinera;9;VERDADERO;FALSO;;25;Libertador General Bernardo OHiggins
4;mi familia;10;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;VERDADERO;;19;Maule
4;estudiante;2;VERDADERO;VERDADERO;;25;Región Metropolitana de Santiago
4;Ingeniero de software;11;VERDADERO;FALSO;;36;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;22;Región Metropolitana de Santiago
4;Tecnico;12;VERDADERO;VERDADERO;;34;Bío-Bío
4;personal;13;VERDADERO;FALSO;;19;Atacama
4;Estudiante;2;VERDADERO;FALSO;;24;Valparaíso
4;garzona;14;VERDADERO;FALSO;;38;Antofagasta
4;due?±a de casa;8;VERDADERO;FALSO;;42;Región Metropolitana de Santiago
4;aaaa;15;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;asistente de aula;16;VERDADERO;VERDADERO;;32;Maule
4;informatico;17;VERDADERO;FALSO;;29;Valparaíso
4;INGENIERO;18;VERDADERO;FALSO;;57;Región Metropolitana de Santiago
4;due?±a de casa;8;VERDADERO;FALSO;;36;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;FALSO;;21;Región Metropolitana de Santiago
4;Trader;19;VERDADERO;FALSO;;19;Bío-Bío
4;operador de redes;20;VERDADERO;VERDADERO;;28;Región Metropolitana de Santiago
4;estudiante;2;VERDADERO;VERDADERO;;26;Región Metropolitana de Santiago
4;t?©cnico;21;VERDADERO;FALSO;;45;Libertador General Bernardo OHiggins
4;administraci??n;22;VERDADERO;FALSO;;26;Libertador General Bernardo OHiggins
4;Dibujo;23;VERDADERO;FALSO;;27;Región Metropolitana de Santiago
4;trabajador dependiente;24;VERDADERO;VERDADERO;;21;Región Metropolitana de Santiago
4;Ingeniero;18;VERDADERO;FALSO;;27;Región Metropolitana de Santiago
4;analista;25;VERDADERO;VERDADERO;;30;Región Metropolitana de Santiago
4;bodeguero;26;VERDADERO;FALSO;;25;Región Metropolitana de Santiago
4;guardia de seguridad;27;VERDADERO;VERDADERO;;32;Arica y Parinacota
4;t?©cnico en administraci??n de empresas;28;VERDADERO;FALSO;;28;Coquimbo
4;no informada;29;VERDADERO;VERDADERO;;30;Región Metropolitana de Santiago
4;asesora;30;VERDADERO;FALSO;;40;Coquimbo
4;Estudiante;2;VERDADERO;FALSO;;22;Valparaíso
4;Dependiente;31;VERDADERO;VERDADERO;;29;Región Metropolitana de Santiago
4;Comerciante;32;VERDADERO;FALSO;;42;Antofagasta
4;estudiante;2;VERDADERO;VERDADERO;;25;Región Metropolitana de Santiago
4;Operador terrestre;33;VERDADERO;FALSO;;30;Región Metropolitana de Santiago
4;Docente;34;VERDADERO;FALSO;;19;Bío-Bío
4;estudiante;2;VERDADERO;FALSO;;21;Valparaíso
4;vendedora;35;VERDADERO;FALSO;;35;Coquimbo
